subspecies,health,pollen_carrying,caste,file_path
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_029.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_015.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_001.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_000.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_014.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_028.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_002.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_016.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_017.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_003.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_007.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_012.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_006.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_010.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_004.png
Italian honey bee,healthy,True,worker,Data\bee_imgs\017_038.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_039.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_005.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_011.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_076.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_062.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_089.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_102.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_116.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_117.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_088.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_063.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_077.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_049.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_061.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_075.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_129.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_115.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_101.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_100.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_114.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_128.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_074.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_060.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_048.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_064.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_070.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_058.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_110.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_104.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_105.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_111.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_059.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_071.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_073.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_067.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_098.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_107.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_113.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_106.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_099.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_066.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_072.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_057.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_043.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_094.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_123.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_122.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_081.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_095.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_042.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_056.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_068.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_054.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_083.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_097.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_108.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_120.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_121.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_109.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_096.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_082.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_055.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_041.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_069.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_045.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_051.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_079.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_086.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_092.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_131.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_125.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_119.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_118.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_124.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_093.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_087.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_078.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_050.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_044.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_052.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_046.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_091.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_085.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_126.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_132.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_127.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_084.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_090.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_047.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_053.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_008.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_034.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_020.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_021.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_035.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_009.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_023.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_037.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_036.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_022.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_026.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_032.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_033.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_027.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_025.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_019.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_018.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\017_030.png
Italian honey bee,healthy,False,worker,Data\bee_imgs\003_169.png
